PackagingApparaat,Herkomst,Risicokwalificatie,Koffieboon,Panel Test,Klantretourpercentage,Registratiedatum,FillingDatumTijdEind,PackagingDatumTijdEind,FillingApparaat,Cost,Voorraadniveaus,FillingDatumTijdStart,Benuttingsgraad,GrindingDatumTijdEind,Cyclustijd,GrindingDatumTijdStart,LeverancierLevertijd,Leveranciersbeoordeling,Roosterprofiel,Klanttevredenheid,Gewichtscontrole,FillingID,Duurzaamheid Score,PackagingDatumTijdStart,Audit van Leverancier,Batchnr,CO2-Footprint,Opmerkingen,ProcessTime,Fair-Trade Score,Defectpercentage,Energieverbruik,GrindingApparaat,PackagingID,Laatste Audit,GrindingID
Packager 1,Guatemala,Hoog,Arabica,Voldoet,0.86%,2021-06-15,2022-05-27 07:41:18.148001,2022-05-27 08:46:34.426595,Filling Machine 2,538.39,200,2022-05-27 07:20:14.649675,84.37%,2022-05-27 06:45:52.296875,4.77,2022-05-27 06:20:51,8 dagen,5.0,Medium-Donker,4,0.74 kg,6344,44,2022-05-27 08:15:44.308376,Goedgekeurd,1164,5.53 kg CO2/kg,Geen,4.77 hours,52,1.42%,onbekend,Grinder 4,1582,2022-03-24,4994
Packager 1,Burundi,Matig,Arabica,Voldoet gedeeltelijk,1.72%,2021-12-28,2021-09-24 08:28:43.206678,2021-09-24 10:14:19.420788,Filling Machine 2,548.12,300,2021-09-24 08:09:59.853287,84.00%,2021-09-24 07:52:29.660030,4.96,2021-09-24 07:42:48,18 dagen,8.0,Medium-Donker,2,0.91 kg,1127,24,2021-09-24 09:37:13.254325,Afgekeurd,4308,4.88 kg CO2/kg,Geen,4.96 hours,44,1.99%,421.0 kWh,Grinder 1,3476,2022-04-28,3558
Packager 4,Papoea-Nieuw-Guinea,Matig,Arabica,Voldoet,0.62%,2022-03-12,2021-10-19 04:36:19.455085,2021-10-19 06:10:55.846134,Filling Machine 2,507.22,400,2021-10-19 04:24:20.732478,87.34%,2021-10-19 04:05:48.174214,4.1,2021-10-19 03:51:29,15 dagen,4.0,Medium,6,0.92 kg,8245,79,2021-10-19 05:52:41.618035,Afgekeurd,6807,7.30 kg CO2/kg,Geen,4.14 hours,65,2.51%,277.0 kWh,Grinder 4,3840,2022-07-22,3715
Packager 3,Angola,Matig,Robusta,Voldoet,1.58%,2021-05-24,2023-11-07 23:56:28.907359,31-02-2025 25:61:61,Filling Machine 2,453.99,100,2023-11-07 23:44:09.509397,72.38%,2023-11-07 23:42:48.655654,3.08,2023-11-07 23:15:17,17 dagen,5.0,Medium-Donker,1,1.25 kg,5202,52,2023-11-08 00:51:01.629687,Afgekeurd,7308,1.00 kg CO2/kg,Geen,3.08 hours,59,3.74%,286.0 kWh,Grinder 2,7307,2021-08-07,7899
Packager 2,Democratische Republiek Congo,Hoog,Arabica,Voldoet,1.17%,2020-11-21,2021-01-11 04:39:28.350356,2021-01-11 06:57:43.560285,Filling Machine 4,517.23,400,2021-01-11 04:20:51.187376,82.08%,2021-01-11 03:59:33.961916,4.34,2021-01-11 03:33:20,7 dagen,1.0,Medium-Donker,5,1.05 kg,4627,57,2021-01-11 06:24:26.570129,Goedgekeurd,6507,2.81 kg CO2/kg,Uitstekende kwaliteit,4.34 hours,57,0.18%,227.0 kWh,Grinder 4,4357,2020-12-28,2090
Packager 5,Puerto Rico,Kritiek,Excelsa,Voldoet,1.28%,2020-01-10,2023-06-01 07:12:59.108075,2023-06-01 08:39:45.644344,Filling Machine 2,521.12,300,2023-06-01 06:50:59.016320,80.13%,2023-06-01 06:21:20.319054,4.42,2023-06-01 05:57:02,11 dagen,3.0,Licht,3,0.74 kg,7705,51,2023-06-01 08:19:43.790265,Afgekeurd,5654,8.71 kg CO2/kg,Geen,4.42 hours,47,0.34%,222.0 kWh,Grinder 3,5927,2021-01-04,7053
Packager 3,Haïti,Matig,Arabica,Voldoet,1.21%,2022-07-16,2023-07-05 22:14:07.930885,0000-00-00 00:00:00,Filling Machine 2,472.96,100,2023-07-05 21:57:53.617769,90.75%,2023-07-05 21:31:22.610936,3.46,2023-07-05 21:09:17,15 dagen,4.0,Medium,3,0.93 kg,5511,17,2023-07-05 23:21:27.901023,Goedgekeurd,3481,2.08 kg CO2/kg,Geen,3.46 hours,30,1.31%,202.0 kWh,Grinder 2,8478,2022-10-26,7234
Packager 2,Colombia,Zeer Hoog,Arabica,Voldoet,1.40%,2020-01-19,2021-02-14 20:22:02.934833,2021-02-14 22:46:49.551413,Filling Machine 1,505.05,500,2021-02-14 20:04:25.158932,68.72%,2021-02-14 19:53:30.839260,3.37,2021-02-14 19:44:40,19 dagen,1.0,Medium,1,1.04 kg,342,48,2021-02-14 22:02:45.114553,Afgekeurd,3914,4.73 kg CO2/kg,Geen,3.37 hours,76,1.43%,,Grinder 3,1131,2020-06-14,2306
Packager 2,Cuba,Hoog,Robusta,Voldoet gedeeltelijk,1.95%,2020-04-01,2020-11-04 07:27:20.631436,2020-11-04 09:39:15.125187,Filling Machine 2,535.73,200,2020-11-04 07:13:14.992598,58.29%,2020-11-04 06:32:26.014910,4.71,2020-11-04 06:19:48,17 dagen,7.0,Licht,2,0.64 kg,2394,38,2020-11-04 09:23:17.680981,Goedgekeurd,2095,6.17 kg CO2/kg,Geen,4.71 hours,57,2.42%,313.0 kWh,Grinder 3,1884,2020-11-06,1724
Packager 1,Thailand,Zeer Hoog,Robusta,Voldoet,1.23%,2023-04-06,2022-02-13 14:35:54.844847,2022-02-13 16:11:33.843878,Filling Machine 3,505.05,300,2022-02-13 14:25:53.084209,75.32%,2022-02-13 14:03:25.312945,4.1,2022-02-13 13:40:09,16 dagen,7.0,Medium,2,1.02 kg,9633,66,2022-02-13 15:49:38.855134,Afgekeurd,2760,9.45 kg CO2/kg,Herziening vereist,3.24 hours,37,2.84%,213.0 kWh,Grinder 2,1583,2023-07-13,4393
Packager 1,Tanzania,Matig,Arabica,Voldoet,0.92%,2021-11-26,2023-07-08 17:42:24.823297,2023-07-08 18:50:23.165092,Filling Machine 3,484.97,300,2023-07-08 17:27:03.727207,86.76%,2023-07-08 16:47:13.011375,3.7,2023-07-08 16:36:47,21 dagen,4.0,Medium-Donker,5,0.88 kg,3281,unknown,2023-07-08 18:28:15.718555,Herziening vereist,6193,5.18 kg CO2/kg,Uitstekende kwaliteit,3.70 hours,22,0.88%,228.0 kWh,Grinder 4,3736,2022-01-02,7247
Packager 3,Angola,Matig,Robusta,Voldoet,1.17%,2022-02-25,2022-09-05 15:51:58.536723,onbekend,Filling Machine 2,524.12,300,2022-09-05 15:29:42.845107,76.58%,2022-09-05 15:13:25.296575,4.48,2022-09-05 14:55:01,5 dagen,1.0,Medium,4,1.10 kg,1047,29,2022-09-05 17:15:19.728471,Afgekeurd,3018,4.99 kg CO2/kg,Geen,???,31,1.48%,222.0 kWh,Grinder 3,7984,2022-09-04,5545
Packager 1,Indonesië,Hoog,Arabica,Voldoet,1.30%,2020-02-03,onbekend,2020-03-07 10:11:57.306064,Filling Machine 1,519.3,300,2020-03-07 09:02:58.924061,75.22%,2020-03-07 08:34:58.392120,4.39,2020-03-07 08:23:44,15 dagen,5.0,Licht,5,1.34 kg,3587,64,2020-03-07 09:49:42.523532,Goedgekeurd,7014,5.75 kg CO2/kg,Uitstekende kwaliteit,4.39 hours,47,1.62%,353.0 kWh,Grinder 1,1954,2020-09-23,384
Packager 1,Kameroen,Matig,Robusta,Voldoet,1.08%,2022-01-25,2020-10-10 04:16:33.890949,2020-10-10 05:29:06.285590,Filling Machine 5,487.77,300,2020-10-10 04:05:08.724945,68.56%,2020-10-10 03:46:28.309881,3.76,2020-10-10 03:24:00,22 dagen,3.0,Medium,3,1.15 kg,8514,38,2020-10-10 05:01:17.301285,Herziening vereist,2288,4.99 kg CO2/kg,Herziening vereist,3.76 hours,52,2.74%,151.0 kWh,Grinder 5,178,2022-04-14,1564
Packager 3,Ethiopië,Zeer Hoog,Arabica,Voldoet,0.89%,2021-10-21,2023-03-12 02:42:29.650774,2023-03-12 04:01:58.557735,Filling Machine 1,471.31,500,2023-03-12 02:22:36.390019,56.98%,2023-03-12 01:54:11.850518,3.43,2023-03-12 01:41:21,12 dagen,6.0,Licht,2,1.10 kg,4056,unknown,2023-03-12 03:30:57.941161,Afgekeurd,8832,6.72 kg CO2/kg,Geen,3.43 hours,37,0.42%,321.0 kWh,Grinder 1,559,2022-09-18,6607
Packager 5,Cuba,Laag,Robusta,Voldoet,0.47%,2020-09-01,2022-02-08 18:19:54.416879,2022-02-08 20:07:26.849691,Filling Machine 2,522.58,500,2022-02-08 18:00:13.862380,77.88%,2022-02-08 17:44:24.599602,4.45,2022-02-08 17:25:14,17 dagen,5.0,Medium,1,0.98 kg,2799,66,2022-02-08 19:36:10.803452,Goedgekeurd,7450,7.72 kg CO2/kg,Geen,4.45 hours,39,1.19%,270.0 kWh,Grinder 3,6387,2020-12-02,4360
Packager 1,Dominicaanse Republiek,Hoog,Robusta,Voldoet,1.09%,2020-04-25,2022-06-15 21:33:19.167733,2022-06-15 23:06:06.982026,Filling Machine 5,449.57,400,2022-06-15 21:25:51.193309,87.16%,2022-06-15 20:40:20.866495,2.99,2022-06-15 20:14:29,20 dagen,,Medium-Donker,5,1.02 kg,2582,39,2022-06-15 22:35:49.041005,Goedgekeurd,9906,2.89 kg CO2/kg,Geen,2.99 hours,87,2.95%,357.0 kWh,Grinder 4,6447,2020-11-14,5110
Packager 5,Costa Rica,Zeer Hoog,Arabica,Voldoet,0.21%,2020-03-31,2020-04-26 18:20:40.983507,2020-04-26 19:43:45.950121,Filling Machine 5,515.35,500,2020-04-26 17:55:21.455419,75.18%,2020-04-26 17:33:43.862879,4.31,onbekend,15 dagen,4.0,Medium,5,1.13 kg,2735,unknown,2020-04-26 19:16:14.964949,Herziening vereist,4058,4.95 kg CO2/kg,Geen,4.31 hours,33,0.77%,161.0 kWh,Grinder 3,2580,2020-10-03,638
Packager 2,Zambia,Laag,Arabica,Voldoet,0.91%,2021-10-16,2021-04-18 19:04:24.727972,2021-04-18 20:04:34.216763,Filling Machine 1,436.62,500,2021-04-18 18:49:20.847719,77.18%,2021-04-18 18:21:47.905262,2.73,2021-04-18 17:54:27,18 dagen,2.0,Medium,6,1.27 kg,4579,57,2021-04-18 19:42:50.243110,Goedgekeurd,4985,9.36 kg CO2/kg,Uitstekende kwaliteit,2.73 hours,47,2.95%,456.0 kWh,Grinder 1,5766,2022-09-15,XXXX
Packager 2,Cuba,Hoog,Arabica,Voldoet gedeeltelijk,0.80%,2021-12-09,2022-01-30 00:57:08.235706,2022-01-30 02:26:33.586293,Filling Machine 4,513.34,500,2022-01-30 00:40:10.038884,73.28%,2022-01-30 00:09:46.344012,4.27,2022-01-29 23:43:55,11 dagen,5.0,Medium-Donker,4,1.39 kg,9703,6,2022-01-30 01:58:50.817687,Afgekeurd,7934,7.68 kg CO2/kg,Geen,4.27 hours,41,2.64%,-100 kWh,Grinder 4,8016,2022-02-01,4293
Packager 5,Puerto Rico,Matig,Arabica,Voldoet niet,0.30%,2022-08-20,2020-09-06 04:59:39.895144,2020-09-06 06:46:24.961604,Filling Machine 2,518.11,200,2020-09-06 04:45:36.815948,75.15%,2020-09-06 04:12:16.569531,4.36,2020-09-06 03:55:43,10 dagen,7.0,Medium,1,1.10 kg,5465,38,2020-09-06 06:09:12.072896,Goedgekeurd,1340,5.42 kg CO2/kg,Geen,4.36 hours,61,0.94%,385.0 kWh,Grinder 2,4675,2023-07-17,1361
Packager 3,Nicaragua,Hoog,Arabica,Voldoet,0.92%,2023-11-12,2022-03-23 08:39:44.832698,31-02-2025 25:61:61,Filling Machine 5,456.08,500,2022-03-23 08:29:42.403680,74.15%,2022-03-23 08:10:35.049417,3.12,2022-03-23 07:44:56,13 dagen,3.0,Medium,onbekend,0.99 kg,1872,39,2022-03-23 09:48:14.791436,Herziening vereist,9544,10.00 kg CO2/kg,Geen,3.12 hours,60,0.70%,,Grinder 4,7062,2024-03-08,4640
Packager 5,Haïti,Hoog,Robusta,Voldoet,1.14%,2022-12-11,2022-03-04 14:51:04.292894,2022-03-04 16:30:55.949918,Filling Machine 4,475.05,100,2022-03-04 14:34:28.580314,50.00%,2022-03-04 14:18:14.105925,3.5,2022-03-04 13:51:59,17 dagen,5.0,Medium,6,0.93 kg,9819,56,2022-03-04 16:09:58.800487,Herziening vereist,7476,4.92 kg CO2/kg,Geen,3.50 hours,88,0.93%,266.0 kWh,Grinder 2,5298,2023-08-10,4516
Packager 3,Burundi,Kritiek,Arabica,Voldoet,0.00%,2020-02-27,2020-10-29 23:29:01.610022,2020-10-30 00:44:58.232796,Filling Machine 5,491.46,500,2020-10-29 23:13:27.846721,71.65%,2020-10-29 22:26:42.196728,3.83,2020-10-29 22:02:27,9 dagen,5.0,Medium,-3,1.16 kg,6150,59,2020-10-30 00:08:45.730607,Afgekeurd,6606,6.50 kg CO2/kg,Geen,3.83 hours,27,1.44%,374.0 kWh,Grinder 1,700,2020-08-05,1698
Packager 1,Democratische Republiek Congo,Laag,Robusta,Voldoet,1.14%,2022-02-12,2020-12-02 09:16:30.659223,2020-12-02 10:55:42.838201,Filling Machine 1,459.35,200,2020-12-02 08:58:53.586312,69.29%,2020-12-02 08:10:13.747149,3.19,0000-00-00 00:00:00,11 dagen,4.0,Medium,4,0.93 kg,771,42,2020-12-02 10:20:26.674791,Goedgekeurd,7420,9.58 kg CO2/kg,Uitstekende kwaliteit,3.19 hours,50,2.01%,218.0 kWh,Grinder 5,830,2022-08-12,1870
Packager 5,Puerto Rico,Matig,Excelsa,Voldoet,1.14%,,31-02-2025 25:61:61,2022-01-15 13:45:19.173668,Filling Machine 1,505.71,500,2022-01-15 12:29:47.344610,85.65%,2022-01-15 12:03:20.876765,4.11,2022-01-15 11:42:59,14 dagen,,Licht,9,1.01 kg,5027,55,2022-01-15 13:16:50.350369,Goedgekeurd,7926,2.35 kg CO2/kg,Geen,4.11 hours,65,2.78%,191.0 kWh,Grinder 3,7953,2023-05-22,4220
Packager 1,Ivoorkust,Matig,Arabica,Voldoet,1.69%,2021-09-04,2020-12-26 15:46:28.923586,2020-12-26 16:40:56.242024,Filling Machine 4,450.17,500,2020-12-26 15:38:00.462116,82.41%,2020-12-26 15:01:53,3.0,2020-12-26 15:00:53,16 dagen,4.0,Licht,4,1.20 kg,5883,86,2020-12-26 16:11:02.911114,Herziening vereist,2025,6.63 kg CO2/kg,Geen,3.00 hours,17,1.92%,133.0 kWh,Grinder 3,7011,2022-05-19,2001
Packager 3,Peru,Hoog,Arabica,Voldoet,0.23%,2023-08-15,2020-09-06 05:28:03.605862,2020-09-06 07:00:19.412006,Filling Machine 1,505.05,400,2020-09-06 05:14:27.694771,87.80%,2020-09-06 04:43:12.229317,4.01,2020-09-06 04:18:57,7 dagen,4.0,Medium,4,1.07 kg,3031,60,2020-09-06 06:16:14.582606,Herziening vereist,1703,1.35 kg CO2/kg,Geen,4.01 hours,60,1.78%,227.0 kWh,Grinder 4,2656,2024-01-15,1364
Packager 4,Jemen,Laag,Arabica,Voldoet,1.34%,2021-06-24,2023-02-24 02:46:20.056442,2023-02-24 04:46:30.596251,Filling Machine 2,527.69,500,2023-02-24 02:29:36.216749,73.07%,2023-02-24 02:05:17.982625,4.55,2023-02-24 01:41:13,12 dagen,1.0,Medium-Donker,6,0.86 kg,5558,19,2023-02-24 03:57:51.800707,Goedgekeurd,7696,5.97 kg CO2/kg,Herziening vereist,4.55 hours,87,1.78%,268.0 kWh,Grinder 4,4138,2022-02-14,6524
Packager 4,Bolivia,Hoog,Liberica,Voldoet,0.80%,2023-05-11,2021-03-07 04:04:17.144216,2021-03-07 05:17:47.086629,Filling Machine 1,481.12,200,2021-03-07 03:53:14.523440,76.71%,2021-03-07 03:39:09.131547,3.62,2021-03-07 03:19:37,12 dagen,2.0,Licht,3,0.80 kg,4912,48,2021-03-07 04:41:33.545102,Afgekeurd,8814,1.00 kg CO2/kg,Geen,3.62 hours,66,0.24%,365.0 kWh,Grinder 1,9116,2023-07-26,2410
Packager 5,Rwanda,Zeer Hoog,Arabica,Voldoet,0.73%,2022-07-04,2021-11-20 17:56:50.156356,2021-11-20 19:38:17.080876,Filling Machine 3,564.28,200,2021-11-20 17:38:29.861785,69.73%,2021-11-20 17:07:33.225841,5.29,2021-11-20 16:51:01,10 dagen,,Medium,6,1.50 kg,7009,51,2021-11-20 18:59:18.879239,Afgekeurd,2058,7.34 kg CO2/kg,Herziening vereist,5.29 hours,53,3.05%,299.0 kWh,Grinder 2,5227,2023-06-16,3889
Packager 2,Puerto Rico,Kritiek,Robusta,Voldoet,1.49%,2023-04-14,2021-04-17 11:48:34.809898,2021-04-17 12:51:57.048644,Filling Machine 2,505.05,200,2021-04-17 11:31:33.094435,82.67%,2021-04-17 10:58:52.733610,3.43,2021-04-17 10:40:30,13 dagen,4.0,Medium,4,1.09 kg,3454,77,onbekend,Afgekeurd,7202,5.35 kg CO2/kg,Geen,3.43 hours,47,1.77%,,Grinder 4,7891,2023-12-20,2655
Packager 5,Dominicaanse Republiek,Hoog,Robusta,Voldoet,1.21%,2022-08-29,2022-11-26 14:21:36.082610,31-02-2025 25:61:61,Filling Machine 4,517.3,500,2022-11-26 14:07:08.050112,74.75%,2022-11-26 13:38:30.126173,4.35,2022-11-26 13:17:11,10 dagen,2.0,Medium-Donker,1,1.16 kg,7227,999,2022-11-26 15:01:49.561673,Afgekeurd,4278,5.07 kg CO2/kg,Geen,4.35 hours,20,1.97%,260.0 kWh,Grinder 5,4397,2022-10-21,5997
Packager 3,Dominicaanse Republiek,Hoog,Robusta,Voldoet,1.44%,2020-02-29,2022-01-08 04:32:32.035430,2022-01-08 05:55:56.076952,Filling Machine 2,468.97,100,2022-01-08 04:20:43.253724,77.10%,2022-01-08 04:06:29.295875,3.38,2022-01-08 03:46:09,16 dagen,6.0,Medium,7,0.92 kg,4202,38,2022-01-08 05:33:51.041273,Goedgekeurd,8353,4.48 kg CO2/kg,Geen,3.38 hours,45,2.01%,246.0 kWh,Grinder 2,7420,2020-06-28,4173
Packager 5,Peru,Laag,Robusta,Voldoet,1.19%,2022-01-01,2021-05-31 14:23:48.053252,2021-05-31 16:00:58.441351,Filling Machine 5,553.27,500,2021-05-31 14:09:41.045999,60.71%,31-02-2025 25:61:61,5.07,2021-05-31 13:03:59,17 dagen,8.0,Licht,6,0.75 kg,7594,43,2021-05-31 15:39:13.563424,Goedgekeurd,6135,8.22 kg CO2/kg,Geen,5.07 hours,60,4.32%,258.0 kWh,Grinder 3,1007,2022-05-22,2886
Packager 5,Democratische Republiek Congo,Hoog,Arabica,Voldoet,0.38%,2023-03-09,2020-08-04 01:55:27.365799,2020-08-04 03:45:11.129493,Filling Machine 1,480.19,500,2020-08-04 01:35:02.357815,74.13%,2020-08-04 01:16:57.267408,3.6,2020-08-04 00:46:07,14 dagen,2.0,Licht,6,0.75 kg,8686,54,2020-08-04 03:19:12.580470,Goedgekeurd,9087,5.74 kg CO2/kg,Geen,3.60 hours,62,1.70%,onbekend,Grinder 1,9298,,1175
Packager 3,Dominicaanse Republiek,Matig,Robusta,Voldoet gedeeltelijk,0.39%,2022-01-05,2021-07-01 04:29:57.717632,2021-07-01 06:02:22.722669,Filling Machine 2,479.64,300,2021-07-01 04:17:05.706190,65.78%,2021-07-01 03:36:39.768651,3.59,2021-07-01 03:19:18,18 dagen,1.0,Medium,10,1.17 kg,9683,41,2021-07-01 05:45:11.650315,Goedgekeurd,9477,2.36 kg CO2/kg,Geen,3.59 hours,58,3.19%,259.0 kWh,Grinder 4,3141,2022-10-13,3087
Packager 2,Dominicaanse Republiek,Laag,Arabica,Voldoet gedeeltelijk,1.05%,2023-04-09,2021-04-14 17:30:33.987079,2021-04-14 19:29:38.918003,Filling Machine 3,510.39,300,2021-04-14 17:18:48.958843,70.93%,2021-04-14 16:46:32.304837,4.21,2021-04-14 16:20:30,14 dagen,1.0,Medium,3,,7723,unknown,2021-04-14 18:38:15.506654,Goedgekeurd,6887,6.38 kg CO2/kg,Geen,4.21 hours,75,1.03%,265.0 kWh,Grinder 4,6903,2023-07-24,2635
Packager 3,Madagascar,Matig,Arabica,Voldoet,1.17%,2020-10-17,2020-03-03 14:01:54.831326,0000-00-00 00:00:00,Filling Machine 5,500.24,300,31-02-2025 25:61:61,68.51%,2020-03-03 13:23:13.516654,4.0,2020-03-03 13:07:57,13 dagen,3.0,Medium,1,0.73 kg,26,40,2020-03-03 15:07:44.867100,Goedgekeurd,7234,5.05 kg CO2/kg,Geen,4.00 hours,56,2.17%,371.0 kWh,Grinder 1,6967,2021-05-14,365
Packager 2,Filipijnen,Laag,Arabica,Voldoet,0.99%,2022-01-01,2022-12-08 22:31:29.380940,2022-12-09 00:25:42.031727,Filling Machine 2,543.28,400,2022-12-08 22:19:07.366991,86.29%,2022-12-08 21:58:16.053964,4.87,2022-12-08 21:41:44,5 dagen,5.0,Medium,3,0.88 kg,437,73,2022-12-08 23:49:40.506505,Goedgekeurd,8780,3.75 kg CO2/kg,Geen,4.87 hours,81,1.82%,309.0 kWh,Grinder 1,6400,2022-10-10,6084
Packager 1,Tanzania,Hoog,Excelsa,Voldoet,1.48%,2022-09-04,2021-03-16 14:55:18.072302,2021-03-16 16:13:56.653214,Filling Machine 1,497.8,100,2021-03-16 14:36:08.609019,72.75%,2021-03-16 14:05:09.282945,3.96,2021-03-16 13:43:13,14 dagen,,Licht,9,0.88 kg,2112,56,2021-03-16 15:55:16.722659,Herziening vereist,4652,3.79 kg CO2/kg,Geen,-2 hours,9,2.51%,193.0 kWh,Grinder 4,5769,2023-05-20,2467
